source|relation|target
Emergence and Dynamics of Conventions and Social Norms (V4)|Dozent|Stefan Napel
Emergence and Dynamics of Conventions and Social Norms (V4)|Veranstaltung von|Lehrstuhl Philosophie I
Empirische Sozialforschung im globalen Süden|Vorlesungsnummer|56200
Empirische Sozialforschung im globalen Süden|Veranstaltungsart|Seminar
Empirische Sozialforschung im globalen Süden|Dozent|Jana Hönke
Empirische Sozialforschung im globalen Süden|Veranstaltung von|Chair for Sociology of Africa - Prof. Dr. Jana Hönke
Entspannungstraining|Vorlesungsnummer|57057
Entspannungstraining|Veranstaltungsart|Hauptseminar
Entspannungstraining|Dozent|Wolfgang Buskies
Entspannungstraining|Veranstaltung von|Sportwissenschaft IV
Entwicklungsethnologie als Teilbereich der Ethnologie (Anthropology of Development)|Vorlesungsnummer|54006
Entwicklungsethnologie als Teilbereich der Ethnologie (Anthropology of Development)|Veranstaltungsart|Seminar
Entwicklungsethnologie als Teilbereich der Ethnologie (Anthropology of Development)|Dozent|Thiago Pinto Barbosa
Entwicklungsethnologie als Teilbereich der Ethnologie (Anthropology of Development)|Veranstaltung von|Facheinheit Ethnologie
Entwicklungspolitik – Einführung|Vorlesungsnummer|56300
Entwicklungspolitik – Einführung|Veranstaltungsart|Vorlesung
Entwicklungspolitik – Einführung|Dozent|Alexander Stroh-Steckelberg
Entwicklungspolitik – Einführung|Veranstaltung von|Politik Afrikas und Entwicklungspolitik
Entwicklungspsychologie des Kindes- und Jugendalters|Vorlesungsnummer|51001
Entwicklungspsychologie des Kindes- und Jugendalters|Veranstaltungsart|Vorlesung
Entwicklungspsychologie des Kindes- und Jugendalters|Dozent|Astrid Utler
Entwicklungspsychologie des Kindes- und Jugendalters|Veranstaltung von|Lehrstuhl Psychologie
Ernährung Substitution Doping|Vorlesungsnummer|57058
Ernährung Substitution Doping|Veranstaltungsart|Hauptseminar
Ernährung Substitution Doping|Dozent|Walter Schmidt
Ernährung Substitution Doping|Veranstaltung von|Professur Sportwissenschaft IV – Sportmedizin/Sportphysiologie
Ethik I (P2)|Vorlesungsnummer|00366
Ethik I (P2)|Veranstaltungsart|Vorlesung
Ethik I (P2)|Dozent|Uwe Czaniera
Ethik I (P2)|Veranstaltung von|Professur Politische Philosophie
Ethnologische Feldforschung: Praxis|Vorlesungsnummer|54014
Ethnologische Feldforschung: Praxis|Veranstaltungsart|Seminar
Ethnologische Feldforschung: Praxis|Dozent|Tabea Häberlein
Ethnologische Feldforschung: Praxis|Veranstaltung von|Facheinheit Ethnologie
Ethnologisches Kolloquium|Vorlesungsnummer|00991
Ethnologisches Kolloquium|Veranstaltungsart|Kolloquium
Ethnologisches Kolloquium|Dozent|Erdmute Alber
Ethnologisches Kolloquium|Veranstaltung von|Facheinheit Ethnologie
Evaluation in Bildungskontexten I = Theorie (KuG SP B2)|Vorlesungsnummer|52102
Evaluation in Bildungskontexten I = Theorie (KuG SP B2)|Veranstaltungsart|Seminar
Evaluation in Bildungskontexten I = Theorie (KuG SP B2)|Dozent|Fabian Dietrich
Evaluation in Bildungskontexten I = Theorie (KuG SP B2)|Veranstaltung von|Lehrstuhl für Schulpädagogik
Event- und Projektmanagement (UNIKAT)|Vorlesungsnummer|50821
Event- und Projektmanagement (UNIKAT)|Veranstaltungsart|Kurs
Event- und Projektmanagement (UNIKAT)|Dozent|Markus Kurscheidt
Event- und Projektmanagement (UNIKAT)|Veranstaltung von|Sportwissenschaft II
EWS AP 1a (Bildung in der Weltgesellschaft)|Vorlesungsnummer|52000
EWS AP 1a (Bildung in der Weltgesellschaft)|Veranstaltungsart|Vorlesung
EWS AP 1a (Bildung in der Weltgesellschaft)|Dozent|Iris Clemens
EWS AP 1a (Bildung in der Weltgesellschaft)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 1b (Erziehungs- und Bildungstheorien)|Vorlesungsnummer|52002
EWS AP 1b (Erziehungs- und Bildungstheorien)|Veranstaltungsart|Seminar
EWS AP 1b (Erziehungs- und Bildungstheorien)|Dozent|Fanny Franke
EWS AP 1b (Erziehungs- und Bildungstheorien)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 1b (Ethnografie als Forschungsansatz)|Vorlesungsnummer|52019
EWS AP 1b (Ethnografie als Forschungsansatz)|Veranstaltungsart|Seminar
EWS AP 1b (Ethnografie als Forschungsansatz)|Dozent|Julia Thibaut
EWS AP 1b (Ethnografie als Forschungsansatz)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 1b (Theoretische und empirische Perspektiven auf Bildung und Lernen)|Vorlesungsnummer|52016
EWS AP 1b (Theoretische und empirische Perspektiven auf Bildung und Lernen)|Veranstaltungsart|Seminar
EWS AP 1b (Theoretische und empirische Perspektiven auf Bildung und Lernen)|Dozent|Julia Thibaut
EWS AP 1b (Theoretische und empirische Perspektiven auf Bildung und Lernen)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 1b (Theoretische und empirische Perspektiven auf Bildung und Lernen)|Vorlesungsnummer|52013
EWS AP 1b (Theoretische und empirische Perspektiven auf Bildung und Lernen)|Veranstaltungsart|Seminar
EWS AP 1b (Theoretische und empirische Perspektiven auf Bildung und Lernen)|Dozent|Julia Thibaut
EWS AP 1b (Theoretische und empirische Perspektiven auf Bildung und Lernen)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 2a (Gewalt an Schulen)|Vorlesungsnummer|52004
EWS AP 2a (Gewalt an Schulen)|Veranstaltungsart|Seminar
EWS AP 2a (Gewalt an Schulen)|Dozent|Maria Theresa Vollmer
EWS AP 2a (Gewalt an Schulen)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 2a (Prekarität und Marginalität - Schnittstellen für die Erziehungswissenschaften)|Vorlesungsnummer|52007
EWS AP 2a (Prekarität und Marginalität - Schnittstellen für die Erziehungswissenschaften)|Veranstaltungsart|Seminar
EWS AP 2a (Prekarität und Marginalität - Schnittstellen für die Erziehungswissenschaften)|Dozent|Julia Thibaut
EWS AP 2a (Prekarität und Marginalität - Schnittstellen für die Erziehungswissenschaften)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 2a (Prekarität und Marginalität - Schnittstellen für die Erziehungswissenschaften)|Vorlesungsnummer|52010
EWS AP 2a (Prekarität und Marginalität - Schnittstellen für die Erziehungswissenschaften)|Veranstaltungsart|Seminar
EWS AP 2a (Prekarität und Marginalität - Schnittstellen für die Erziehungswissenschaften)|Dozent|Julia Thibaut
EWS AP 2a (Prekarität und Marginalität - Schnittstellen für die Erziehungswissenschaften)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 2a (Von Knoten und Kanten - Soziale und kulturelle Netzwerke)|Vorlesungsnummer|52006
EWS AP 2a (Von Knoten und Kanten - Soziale und kulturelle Netzwerke)|Veranstaltungsart|Seminar
EWS AP 2a (Von Knoten und Kanten - Soziale und kulturelle Netzwerke)|Dozent|Julia Thibaut
EWS AP 2a (Von Knoten und Kanten - Soziale und kulturelle Netzwerke)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 2b (Heterogenität in Bildungskontexten)|Vorlesungsnummer|52005
EWS AP 2b (Heterogenität in Bildungskontexten)|Veranstaltungsart|Seminar
EWS AP 2b (Heterogenität in Bildungskontexten)|Dozent|Maria Theresa Vollmer
EWS AP 2b (Heterogenität in Bildungskontexten)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 2b (Internationale NGOs und NPOs in pädagogischen Handlungsfeldern)|Vorlesungsnummer|52015
EWS AP 2b (Internationale NGOs und NPOs in pädagogischen Handlungsfeldern)|Veranstaltungsart|Seminar
EWS AP 2b (Internationale NGOs und NPOs in pädagogischen Handlungsfeldern)|Dozent|Julia Thibaut
EWS AP 2b (Internationale NGOs und NPOs in pädagogischen Handlungsfeldern)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
EWS AP 2b (Von Abweichungen, Fehlern und Bildung)|Vorlesungsnummer|52017
EWS AP 2b (Von Abweichungen, Fehlern und Bildung)|Veranstaltungsart|Seminar
EWS AP 2b (Von Abweichungen, Fehlern und Bildung)|Dozent|Christian Heilig
EWS AP 2b (Von Abweichungen, Fehlern und Bildung)|Veranstaltung von|Lehrstuhl für Allgemeine Pädagogik
Examenskolloquium Trainings-und Bewegungswissenschaft|Vorlesungsnummer|57012
Examenskolloquium Trainings-und Bewegungswissenschaft|Veranstaltungsart|Kolloquium
Examenskolloquium Trainings-und Bewegungswissenschaft|Dozent|Maximilian Siener
Examenskolloquium Trainings-und Bewegungswissenschaft|Veranstaltung von|Sportwissenschaft I
Exkursion (Archäologische Ausgrabung in Rumänien)|Vorlesungsnummer|55013
Exkursion (Archäologische Ausgrabung in Rumänien)|Veranstaltungsart|Exkursion
Exkursion (Archäologische Ausgrabung in Rumänien)|Dozent|Markus Zimmermann
Exkursion (Archäologische Ausgrabung in Rumänien)|Veranstaltung von|Professur Alte Geschichte
Experiment zur Objektivität des Hörens|Vorlesungsnummer|56154
Experiment zur Objektivität des Hörens|Veranstaltungsart|Seminar
Experiment zur Objektivität des Hörens|Dozent|Andreas Kögel
Experiment zur Objektivität des Hörens|Veranstaltung von|Professur Politische Soziologie
Fachdidaktisches Vertiefungsprojekt|Vorlesungsnummer|00967
Fachdidaktisches Vertiefungsprojekt|Veranstaltungsart|Seminar
Fachdidaktisches Vertiefungsprojekt|Dozent|Peter Kuhn
Fachdidaktisches Vertiefungsprojekt|Veranstaltung von|Lehrstuhl für Sozial- und Gesundheitswissenschaften des Sports
Fair Wages - Efficiency Desert and Justice (V3)|Vorlesungsnummer|50204
Fair Wages - Efficiency Desert and Justice (V3)|Veranstaltungsart|Seminar
Fair Wages - Efficiency Desert and Justice (V3)|Dozent|Jonas Franzen
Fair Wages - Efficiency Desert and Justice (V3)|Veranstaltung von|Lehrstuhl Philosophie II
Feminist Economics (V3 / V4)|Vorlesungsnummer|50344
Feminist Economics (V3 / V4)|Veranstaltungsart|Seminar
Feminist Economics (V3 / V4)|Dozent|Olivier Roy
Feminist Economics (V3 / V4)|Veranstaltung von|Lehrstuhl Philosophie I
Finance and Philosophy (The Economics and the Design of Socially Just Climate Policies V3)|Vorlesungsnummer|50176
Finance and Philosophy (The Economics and the Design of Socially Just Climate Policies V3)|Veranstaltungsart|Seminar
Finance and Philosophy (The Economics and the Design of Socially Just Climate Policies V3)|Dozent|Carsten Jung
Finance and Philosophy (The Economics and the Design of Socially Just Climate Policies V3)|Veranstaltung von|Lehrstuhl Philosophie I
Fitness - Kompakt (Zusatzzertifikat GuF)|Vorlesungsnummer|57024
Fitness - Kompakt (Zusatzzertifikat GuF)|Veranstaltungsart|Hauptseminar
Fitness - Kompakt (Zusatzzertifikat GuF)|Dozent|Wolfgang Buskies
Fitness - Kompakt (Zusatzzertifikat GuF)|Veranstaltung von|Sportwissenschaft IV
Forschungsfelder / Afrika thematisch (Relationale Ökologien und das Anthropozän)|Vorlesungsnummer|54041
Forschungsfelder / Afrika thematisch (Relationale Ökologien und das Anthropozän)|Veranstaltungsart|Seminar
Forschungsfelder / Afrika thematisch (Relationale Ökologien und das Anthropozän)|Dozent|Tilman Musch
Forschungsfelder / Afrika thematisch (Relationale Ökologien und das Anthropozän)|Veranstaltung von|Facheinheit Ethnologie
"Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Anthropologische Perspektiven des ""mothering"")"|Vorlesungsnummer|00988
"Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Anthropologische Perspektiven des ""mothering"")"|Veranstaltungsart|Seminar
"Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Anthropologische Perspektiven des ""mothering"")"|Dozent|Anna Madeleine Ayeh
"Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Anthropologische Perspektiven des ""mothering"")"|Veranstaltung von|Facheinheit Ethnologie
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Covid-19: kritische medizinanthropologische Perspektiven auf Pandemien)|Vorlesungsnummer|54016
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Covid-19: kritische medizinanthropologische Perspektiven auf Pandemien)|Veranstaltungsart|Seminar
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Covid-19: kritische medizinanthropologische Perspektiven auf Pandemien)|Dozent|Ulrike Beisel
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Covid-19: kritische medizinanthropologische Perspektiven auf Pandemien)|Veranstaltung von|Professur Kultur und Technik in Afrika
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Digitale Lebenswelten in afrikanischen Kontexten)|Vorlesungsnummer|00989
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Digitale Lebenswelten in afrikanischen Kontexten)|Veranstaltungsart|Seminar
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Digitale Lebenswelten in afrikanischen Kontexten)|Dozent|Andrea Behrends
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Digitale Lebenswelten in afrikanischen Kontexten)|Veranstaltung von|Facheinheit Ethnologie
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Disability Worlds)|Vorlesungsnummer|00688
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Disability Worlds)|Veranstaltungsart|Seminar
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Disability Worlds)|Dozent|Tyler Zoanni
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Disability Worlds)|Veranstaltung von|Facheinheit Ethnologie
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Postcolonial and Decolonial Studies)|Vorlesungsnummer|01024
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Postcolonial and Decolonial Studies)|Veranstaltungsart|Seminar
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Postcolonial and Decolonial Studies)|Dozent|Thiago Pinto Barbosa
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Postcolonial and Decolonial Studies)|Veranstaltung von|Facheinheit Ethnologie
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Schwarz-sein Mobilisieren / Mobilizing Blackness)|Vorlesungsnummer|00986
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Schwarz-sein Mobilisieren / Mobilizing Blackness)|Veranstaltungsart|Seminar
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Schwarz-sein Mobilisieren / Mobilizing Blackness)|Dozent|Mihir Sharma
Forschungsfelder der Ethnologie (BA Ethno C, BA KuG ETHNO C) / Afrika thematisch (BA KuGeA A4) (Schwarz-sein Mobilisieren / Mobilizing Blackness)|Veranstaltung von|Facheinheit Ethnologie
Forschungsfelder der Ethnologie (Covid-19 verstehen: Eine interaktive Anthropologie der Pandemie)|Vorlesungsnummer|54051
Forschungsfelder der Ethnologie (Covid-19 verstehen: Eine interaktive Anthropologie der Pandemie)|Veranstaltungsart|Seminar
Forschungsfelder der Ethnologie (Covid-19 verstehen: Eine interaktive Anthropologie der Pandemie)|Dozent|Mihir Sharma
Forschungsfelder der Ethnologie (Covid-19 verstehen: Eine interaktive Anthropologie der Pandemie)|Veranstaltung von|Facheinheit Ethnologie
Forschungsfelder der Ethnologie (Differenz und Ungleichheit in Indien)|Vorlesungsnummer|01022
Forschungsfelder der Ethnologie (Differenz und Ungleichheit in Indien)|Veranstaltungsart|Seminar
Forschungsfelder der Ethnologie (Differenz und Ungleichheit in Indien)|Dozent|Thiago Pinto Barbosa
Forschungsfelder der Ethnologie (Differenz und Ungleichheit in Indien)|Veranstaltung von|Facheinheit Ethnologie
Forschungsfelder der Ethnologie (Südliches Afrika)|Vorlesungsnummer|54010
Forschungsfelder der Ethnologie (Südliches Afrika)|Veranstaltungsart|Seminar
Forschungsfelder der Ethnologie (Südliches Afrika)|Dozent|Magnus Echtler
Forschungsfelder der Ethnologie (Südliches Afrika)|Veranstaltung von|Facheinheit Ethnologie
Forschungskolloquium|Vorlesungsnummer|57002
Forschungskolloquium|Veranstaltungsart|Kolloquium
Forschungskolloquium|Dozent|Susanne Tittlbach
Forschungskolloquium|Veranstaltung von|Lehrstuhl für Sozial- und Gesundheitswissenschaften des Sports
Forschungsmethoden in der Sportwissenschaft|Vorlesungsnummer|57000
Forschungsmethoden in der Sportwissenschaft|Veranstaltungsart|Seminar
Forschungsmethoden in der Sportwissenschaft|Dozent|Andreas Hohmann
Forschungsmethoden in der Sportwissenschaft|Veranstaltung von|Sportwissenschaft I
Forschungswerkstatt|Vorlesungsnummer|53072
Forschungswerkstatt|Veranstaltungsart|Seminar
Forschungswerkstatt|Dozent|Christoph Bochinger
Forschungswerkstatt|Veranstaltung von|Lehrstuhl für Religionswissenschaft mit  besonderer Berücksichtigung der religiösen Gegenwartskultur
Forschungswerkstatt: Analyse audiovisueller und verbaler Daten|Vorlesungsnummer|56413
Forschungswerkstatt: Analyse audiovisueller und verbaler Daten|Veranstaltungsart|Seminar
Forschungswerkstatt: Analyse audiovisueller und verbaler Daten|Dozent|Bernt Schnettler
Forschungswerkstatt: Analyse audiovisueller und verbaler Daten|Veranstaltung von|Lehrstuhl Kultur- und Religionssoziologie
Forschungswerkstatt für Kulturwissenschaftler (Master und Promotion)|Vorlesungsnummer|56009
